MACHINE_ID,MACHINE_DATA,TIMESTAMP,WAFER_ID,STAGE,CHAMBER,USAGE_OF_BACKING_FILM,USAGE_OF_DRESSER,USAGE_OF_POLISHING_TABLE,USAGE_OF_DRESSER_TABLE,PRESSURIZED_CHAMBER_PRESSURE,MAIN_OUTER_AIR_BAG_PRESSURE,CENTER_AIR_BAG_PRESSURE,RETAINER_RING_PRESSURE,RIPPLE_AIR_BAG_PRESSURE,USAGE_OF_MEMBRANE,USAGE_OF_PRESSURIZED_SHEET,SLURRY_FLOW_LINE_A,SLURRY_FLOW_LINE_B,SLURRY_FLOW_LINE_C,WAFER_ROTATION,STAGE_ROTATION,HEAD_ROTATION,DRESSING_WATER_STATUS,EDGE_AIR_BAG_PRESSURE
2,4,483054959.667,-2141929506,A,4.0,865.0,440.37037037,89.6296296296,3122.0,0.0,0.0,0.0,0.0,0.0,10.256916996,259.5,2.22222222222,0.909090909091,0.0,0.0,0.0,160.0,1.0,0.0
2,4,483054960.667,-2141929506,A,4.0,865.0,440.37037037,89.6296296296,3122.0,0.0,0.0,0.0,0.0,0.0,10.256916996,259.5,2.22222222222,0.909090909091,0.0,0.0,0.0,160.0,0.0,0.0
2,4,483054962.0,-2141929506,A,4.0,865.0,440.37037037,89.6296296296,3122.0,0.0,0.0,0.0,0.0,0.0,10.256916996,259.5,2.22222222222,0.909090909091,36.4,0.0,0.0,160.0,0.0,0.0
2,4,483054962.667,-2141929506,A,4.0,865.0,440.37037037,89.6296296296,3122.0,0.0,0.0,0.0,0.0,0.0,10.256916996,259.5,2.22222222222,0.909090909091,193.2,0.0,0.0,160.0,0.0,0.0
2,4,483054963.667,-2141929506,A,4.0,865.0,440.37037037,89.6296296296,3122.0,0.0,0.0,0.0,0.0,0.0,10.256916996,259.5,2.22222222222,0.909090909091,280.0,0.0,0.0,156.8,0.0,0.0
2,4,483054965.0,-2141929506,A,4.0,865.0,440.37037037,89.6296296296,3122.0,0.0,0.0,0.0,0.0,0.0,10.256916996,259.5,2.22222222222,0.909090909091,344.4,0.0,0.0,156.8,0.0,0.0
2,4,483054965.667,-2141929506,A,4.0,865.0,440.37037037,89.6296296296,3122.0,0.0,0.0,0.0,0.0,0.0,10.256916996,259.5,2.22222222222,0.909090909091,372.4,0.0,0.0,156.8,0.0,0.0
2,4,483054967.0,-2141929506,A,4.0,865.0,440.37037037,89.6296296296,3122.0,0.0,0.0,0.0,0.0,0.0,10.256916996,259.5,2.22222222222,0.909090909091,403.2,0.0,0.0,156.8,0.0,0.0
2,4,483054968.0,-2141929506,A,4.0,865.0,440.37037037,89.6296296296,3122.0,0.0,0.0,0.0,0.0,0.0,10.256916996,259.5,2.22222222222,0.909090909091,425.6,0.0,0.0,156.8,0.0,0.0
2,4,483054969.0,-2141929506,A,4.0,865.0,440.37037037,89.6296296296,3122.0,0.0,0.0,0.0,0.0,0.0,10.256916996,259.5,2.22222222222,0.909090909091,436.8,0.0,0.0,156.8,0.0,0.0
