MACHINE_ID,MACHINE_DATA,TIMESTAMP,WAFER_ID,STAGE,CHAMBER,USAGE_OF_BACKING_FILM,USAGE_OF_DRESSER,USAGE_OF_POLISHING_TABLE,USAGE_OF_DRESSER_TABLE,PRESSURIZED_CHAMBER_PRESSURE,MAIN_OUTER_AIR_BAG_PRESSURE,CENTER_AIR_BAG_PRESSURE,RETAINER_RING_PRESSURE,RIPPLE_AIR_BAG_PRESSURE,USAGE_OF_MEMBRANE,USAGE_OF_PRESSURIZED_SHEET,SLURRY_FLOW_LINE_A,SLURRY_FLOW_LINE_B,SLURRY_FLOW_LINE_C,WAFER_ROTATION,STAGE_ROTATION,HEAD_ROTATION,DRESSING_WATER_STATUS,EDGE_AIR_BAG_PRESSURE
2,1,482388951.0,665222804,A,1.0,5407.5,121.481481481,164.444444444,2906.75,0.0,0.0,0.0,0.0,0.0,64.1205533597,1622.25,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0
2,1,482388951.0,665222804,A,1.0,5407.5,121.481481481,164.444444444,2906.75,0.0,0.0,0.0,0.0,0.0,64.1205533597,1622.25,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0
2,1,482388952.0,665222804,A,1.0,5407.5,121.481481481,164.444444444,2906.75,0.0,0.0,0.0,0.0,0.0,64.1205533597,1622.25,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0
2,1,482388952.0,665222804,A,1.0,5407.5,121.481481481,164.444444444,2906.75,0.0,0.0,0.0,0.0,0.0,64.1205533597,1622.25,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0
2,1,482388953.0,665222804,A,1.0,5407.5,121.481481481,164.444444444,2906.75,0.0,0.0,0.0,0.0,0.0,64.1205533597,1622.25,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0
2,1,482388953.0,665222804,A,1.0,5407.5,121.481481481,164.444444444,2906.75,0.0,0.0,0.0,0.0,0.0,64.1205533597,1622.25,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0
2,1,482388954.0,665222804,A,1.0,5407.5,121.481481481,164.444444444,2906.75,0.0,0.0,0.0,0.0,0.0,64.1205533597,1622.25,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0
2,1,482388954.0,665222804,A,1.0,5407.5,121.481481481,164.444444444,2906.75,0.0,0.0,0.0,0.0,0.0,64.1205533597,1622.25,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0
2,1,482388955.0,665222804,A,1.0,5407.5,121.481481481,164.444444444,2906.75,0.0,0.0,0.0,0.0,0.0,64.1205533597,1622.25,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0
2,1,482388955.0,665222804,A,1.0,5407.5,121.481481481,164.444444444,2906.75,0.0,0.0,0.0,0.0,0.0,64.1205533597,1622.25,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0
2,1,482388958.0,665222804,A,1.0,5407.5,121.481481481,164.444444444,2906.75,0.0,0.0,0.0,0.0,0.0,64.1205533597,1622.25,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0
2,1,482388958.0,665222804,A,1.0,5407.5,121.481481481,164.444444444,2906.75,0.0,0.0,0.0,0.0,0.0,64.1205533597,1622.25,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0
2,1,482388958.333,665222804,A,1.0,5407.5,121.481481481,164.444444444,2906.75,0.0,0.0,0.0,0.0,0.0,64.1205533597,1622.25,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0
2,1,482388958.333,665222804,A,1.0,5407.5,121.481481481,164.444444444,2906.75,0.0,0.0,0.0,0.0,0.0,64.1205533597,1622.25,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0
